 Test Run ID ,Unit ID,Material ,Test Date,Machine ID,Sample Thickness (mm),Elapsed Time (s),Load (kN),Extension (mm),Operator,Sensor Status
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,10,15.01,0.183,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,20,26.59,0.342,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,30,39.59,0.607,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,40,51.45,0.676,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,50,61.41,0.910,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,60,73.34,1.022,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,70,84.64,1.316,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,80,93.53,1.412,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,90,84.36,1.616,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,100,75.42,1.831,C. Patel,OK
TT-2026-022,UT-022, Steel-4140,2026-07-08,TT-02,3.03,110,66.01,1.971,C. Patel,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,0,0.00,0.076,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,10,9.03,0.128,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,20,16.44,0.403,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,30,24.39,0.460,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,40,30.80,0.773,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,50,38.81,0.835,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,60,45.34,1.063,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,70,45.83,1.235,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,80,39.02,1.418,A. Rivera,OK
TT-2026-023,UT-023,Aluminum 6061,2026-07-08,TT-01,3.55,90,34.32,1.672,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,0,0.40,0.059,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,10,4.02,0.209,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,20,7.78,0.408,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,30,10.74,0.528,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,40,13.51,0.771,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,50,17.63,0.922,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,60,20.88,1.048,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,70,23.73,1.253,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,80,26.36,1.440,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,90,27.72,1.679,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,100,24.64,1.806,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,110,21.58,1.926,A. Rivera,OK
TT-2026-024,UT-024,copper c110,07/09/2026,TT-02,3.83,120,20.33,2.167,A. Rivera,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,0,0.49,0.029,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,10,17.78,0.253,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,20,33.64,0.400,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,30,48.70,0.483,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,40,64.40,0.732,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,50,77.54,0.840,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,60,92.29,1.019,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,70,106.17,1.247,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,80,117.25,1.381,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,90,106.46,1.669,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,100,93.79,1.797,B. Chen,OK
TT-2026-025,UT-025, Steel-4140,2026-07-09,TT-01,3.18,110,83.03,2.033,B. Chen,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,0,0.00,0.036,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,10,8.84,0.216,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,20,17.29,0.299,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,30,24.29,0.562,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,40,31.05,0.775,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,50,39.10,0.883,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,60,45.99,1.121,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,70,46.05,1.255,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,80,40.58,1.469,C. Patel,OK
TT-2026-026,UT-026, Aluminum6061 ,2026-07-09,TT-02,3.36,90,33.90,1.557,C. Patel,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,0,0.07,-0.032,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,10,5.90,0.141,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,20,10.01,0.299,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,30,15.30,0.547,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,40,19.21,0.688,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,50,24.33,0.851,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,60,28.79,1.036,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,70,33.25,1.218,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,80,36.89,1.424,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,90,37.98,1.664,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,100,34.80,1.864,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,110,30.79,1.963,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,120,27.56,2.137,B. Chen,OK
TT-2026-027,UT-027,Copper C110,2026-07-10,TT-01,3.97,110,30.79,1.963,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,0,0.32,0.063,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,10,16.97,0.112,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,20,33.22,0.324,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,30,47.19,0.480,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,40,61.00,0.710,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,50,74.14,0.896,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,60,87.48,1.082,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,70,87.63,1.233,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,80,76.17,1.509,B. Chen,OK
TT-2026-028,UT-028,Steel 4140,07/10/2026,TT-02,3.61,90,66.19,1.582,B. Chen,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,0,0.22,0.029,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,10,6.64,0.215,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,20,13.80,0.407,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,30,20.05,0.468,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,40,25.95,0.674,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,50,31.10,0.907,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,60,36.71,1.092,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,70,42.65,1.228,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,80,47.36,1.425,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,90,42.77,1.582,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,100,37.22,1.812,C. Patel,OK
TT-2026-029, UT-029 ,aluminum-6061,2026-07-10,TT-01,2.86,110,32.60,1.954,C. Patel,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,0,0.38,0.022,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,10,3.76,0.220,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,20,6.96,0.303,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,30,11.01,0.528,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,40,13.88,0.768,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,50,16.47,0.932,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,60,19.94,1.018,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,70,22.77,1.244,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,80,25.76,1.506,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,90,26.57,1.690,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,100,24.09,1.762,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,110,22.53,1.950,B. Chen,OK
TT-2026-030,UT-030,Copper-C110,2026-07-11,TT-02,3.84,120,19.95,2.231,B. Chen,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,0,0.00,0.064,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,10,20.43,0.122,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,20,37.71,0.429,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,30,54.07,0.472,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,40,70.11,0.778,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,50,86.36,0.900,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,60,101.92,1.049,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,70,OVER_RANGE,1.244,A. Rivera,OVER_RANGE
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,80,88.94,1.457,A. Rivera,OK
TT-2026-031,UT-031,steel 4140,2026-07-11,TT-01,3.84,90,76.39,1.609,A. Rivera,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,0,0.22,0.048,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,10,7.63,0.243,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,20,15.89,0.363,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,30,22.50,0.540,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,40,28.99,0.679,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,50,34.72,0.867,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,60,40.93,1.018,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,70,46.87,1.197,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,80,44.62,1.412,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,90,38.33,1.668,C. Patel,OK
TT-2026-032,UT-032,Aluminum 6061,07/11/2026,TT-02,4.45,100,33.49,1.732,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,0,0.00,0.036,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,10,7.51,0.155,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,20,12.85,0.294,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,30,18.30,0.528,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,40,24.44,0.781,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,50,29.35,0.979,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,60,34.73,1.046,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,70,34.58,1.331,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,80,30.22,1.466,C. Patel,OK
TT-2026-033,UT-033,copper c110,2026-07-12,TT-01,2.94,90,25.90,1.658,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,0,0.20,-0.065,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,10,14.17,0.116,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,20,27.00,0.402,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,30,40.34,0.553,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,40,51.88,0.684,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,50,62.88,0.830,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,60,75.03,1.059,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,70,85.93,1.233,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,80,94.27,1.471,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,90,85.04,1.661,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,100,75.66,1.830,C. Patel,OK
TT-2026-034,UT-034,Steel 4140,2026-07-12,TT-02,4.49,110,66.93,1.940,C. Patel,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,0,0.22,0.003,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,10,7.37,0.109,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,20,14.68,0.427,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,30,20.61,0.495,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,40,26.86,0.731,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,50,33.17,0.958,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,60,39.00,1.000,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,70,45.50,1.181,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,80,50.00,1.417,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,90,45.51,1.676,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,100,40.91,1.784,B. Chen,OK
TT-2026-035,UT-035,Aluminum 6061,2026-07-12,TT-01,4.23,110,35.46,1.963,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,0,0.00,0.024,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,10,5.03,0.223,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,20,8.41,0.338,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,30,11.15,0.499,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,40,14.40,0.741,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,50,18.27,0.862,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,60,21.39,1.118,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,70,24.33,1.255,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,80,27.87,1.374,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,90,29.06,1.616,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,100,26.88,1.833,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,110,23.61,2.004,B. Chen,OK
TT-2026-036,UT-036,Copper C110,07/13/2026,TT-02,3.56,120,21.36,2.213,B. Chen,OK
TT-2026-006,UT-006,Steel 4140,2026-07-03,TT-01,3.40,-5,0.00,0.000,A. Rivera,OK
